Train_Dataset,Test_Dataset,Spearman_r,p_value,Optimization_Success,Objective_Value,Params
PTEN.csv,PTEN.csv (Train Set),0.5302778347942562,0.0,True,15233842.382983798,[-0.2737 -1.1866 -0.5211 -2.8593 -0.688 ]
PTEN.csv,PAFA.csv,0.5098440413330632,2.5598862994121792e-68,True,15233842.382983798,[-0.2737 -1.1866 -0.5211 -2.8593 -0.688 ]
PTEN.csv,AICDA.csv,0.3446072006229141,3.2314742159343286e-07,True,15233842.382983798,[-0.2737 -1.1866 -0.5211 -2.8593 -0.688 ]
PTEN.csv,AMIE.csv,0.5900673864773905,0.0,True,15233842.382983798,[-0.2737 -1.1866 -0.5211 -2.8593 -0.688 ]
PTEN.csv,CAS9.csv,0.1689839015430155,4.634878788690566e-53,True,15233842.382983798,[-0.2737 -1.1866 -0.5211 -2.8593 -0.688 ]
PTEN.csv,LGK.csv,0.49669586875843363,0.0,True,15233842.382983798,[-0.2737 -1.1866 -0.5211 -2.8593 -0.688 ]
PTEN.csv,OTC.csv,0.6113265732664802,1.527222816930834e-161,True,15233842.382983798,[-0.2737 -1.1866 -0.5211 -2.8593 -0.688 ]
PTEN.csv,PTEN_2018.csv,0.5344482732951689,0.0,True,15233842.382983798,[-0.2737 -1.1866 -0.5211 -2.8593 -0.688 ]
PTEN.csv,RASH.csv,0.4018795770547511,5.612411453262135e-122,True,15233842.382983798,[-0.2737 -1.1866 -0.5211 -2.8593 -0.688 ]
PTEN.csv,RNC.csv,0.5029972593755665,3.977497230439488e-273,True,15233842.382983798,[-0.2737 -1.1866 -0.5211 -2.8593 -0.688 ]
PTEN.csv,RUBISCO.csv,0.5670324002985107,0.0,True,15233842.382983798,[-0.2737 -1.1866 -0.5211 -2.8593 -0.688 ]
PTEN.csv,VKOR1.csv,0.34915998202974113,2.0546587523163626e-21,True,15233842.382983798,[-0.2737 -1.1866 -0.5211 -2.8593 -0.688 ]
PAFA.csv,PTEN.csv,0.5263846808518079,0.0,True,298886.4141261655,[-0.0663 -0.6091 -0.2126 -0.0853 -0.688 ]
PAFA.csv,PAFA.csv (Train Set),0.5352425073116747,2.2116796566475804e-76,True,298886.4141261655,[-0.0663 -0.6091 -0.2126 -0.0853 -0.688 ]
PAFA.csv,AICDA.csv,0.3747843923020984,2.260009243060346e-08,True,298886.4141261655,[-0.0663 -0.6091 -0.2126 -0.0853 -0.688 ]
PAFA.csv,AMIE.csv,0.5633122273320543,0.0,True,298886.4141261655,[-0.0663 -0.6091 -0.2126 -0.0853 -0.688 ]
PAFA.csv,CAS9.csv,0.17358700306993208,6.190764340923171e-56,True,298886.4141261655,[-0.0663 -0.6091 -0.2126 -0.0853 -0.688 ]
PAFA.csv,LGK.csv,0.5149061122083227,0.0,True,298886.4141261655,[-0.0663 -0.6091 -0.2126 -0.0853 -0.688 ]
PAFA.csv,OTC.csv,0.6025105730636272,9.097311578571304e-156,True,298886.4141261655,[-0.0663 -0.6091 -0.2126 -0.0853 -0.688 ]
PAFA.csv,PTEN_2018.csv,0.5290476895917158,0.0,True,298886.4141261655,[-0.0663 -0.6091 -0.2126 -0.0853 -0.688 ]
PAFA.csv,RASH.csv,0.4544477794327522,1.4687412297220886e-159,True,298886.4141261655,[-0.0663 -0.6091 -0.2126 -0.0853 -0.688 ]
PAFA.csv,RNC.csv,0.5425879520415419,0.0,True,298886.4141261655,[-0.0663 -0.6091 -0.2126 -0.0853 -0.688 ]
PAFA.csv,RUBISCO.csv,0.5865631484257203,0.0,True,298886.4141261655,[-0.0663 -0.6091 -0.2126 -0.0853 -0.688 ]
PAFA.csv,VKOR1.csv,0.34192098659455716,1.5101238071581337e-20,True,298886.4141261655,[-0.0663 -0.6091 -0.2126 -0.0853 -0.688 ]
AICDA.csv,PTEN.csv,0.32433888587296983,1.910408049225598e-177,True,13446.957807239769,[-1.780e-02 -2.100e-03 -1.070e-02  4.303e+00 -6.880e-01]
AICDA.csv,PAFA.csv,0.2307502445806086,9.565055580371668e-14,True,13446.957807239769,[-1.780e-02 -2.100e-03 -1.070e-02  4.303e+00 -6.880e-01]
AICDA.csv,AICDA.csv (Train Set),0.4131389180828341,5.073397715215181e-10,True,13446.957807239769,[-1.780e-02 -2.100e-03 -1.070e-02  4.303e+00 -6.880e-01]
AICDA.csv,AMIE.csv,0.3417855622929406,3.57118993170171e-170,True,13446.957807239769,[-1.780e-02 -2.100e-03 -1.070e-02  4.303e+00 -6.880e-01]
AICDA.csv,CAS9.csv,0.10648396934211896,6.615787592571122e-22,True,13446.957807239769,[-1.780e-02 -2.100e-03 -1.070e-02  4.303e+00 -6.880e-01]
AICDA.csv,LGK.csv,0.3893776191528119,5.415310775410685e-284,True,13446.957807239769,[-1.780e-02 -2.100e-03 -1.070e-02  4.303e+00 -6.880e-01]
AICDA.csv,OTC.csv,0.5766301099063886,8.154132266886874e-140,True,13446.957807239769,[-1.780e-02 -2.100e-03 -1.070e-02  4.303e+00 -6.880e-01]
AICDA.csv,PTEN_2018.csv,0.30762394169265433,6.316964727568087e-159,True,13446.957807239769,[-1.780e-02 -2.100e-03 -1.070e-02  4.303e+00 -6.880e-01]
AICDA.csv,RASH.csv,0.2839249694965552,3.4464099243665255e-59,True,13446.957807239769,[-1.780e-02 -2.100e-03 -1.070e-02  4.303e+00 -6.880e-01]
AICDA.csv,RNC.csv,0.1400439946351277,3.5329701797300533e-20,True,13446.957807239769,[-1.780e-02 -2.100e-03 -1.070e-02  4.303e+00 -6.880e-01]
AICDA.csv,RUBISCO.csv,0.35884816114224266,3.192667670755704e-258,True,13446.957807239769,[-1.780e-02 -2.100e-03 -1.070e-02  4.303e+00 -6.880e-01]
AICDA.csv,VKOR1.csv,0.13144984782933988,0.0005028108692155943,True,13446.957807239769,[-1.780e-02 -2.100e-03 -1.070e-02  4.303e+00 -6.880e-01]
AMIE.csv,PTEN.csv,0.5114194618568746,0.0,True,11117584.449673284,[-0.1041 -0.5306 -0.6381 -0.6864 -0.688 ]
AMIE.csv,PAFA.csv,0.4972366849827557,1.4606886180284405e-64,True,11117584.449673284,[-0.1041 -0.5306 -0.6381 -0.6864 -0.688 ]
AMIE.csv,AICDA.csv,0.3042599841749541,7.502784167304474e-06,True,11117584.449673284,[-0.1041 -0.5306 -0.6381 -0.6864 -0.688 ]
AMIE.csv,AMIE.csv (Train Set),0.5774624685709059,0.0,True,11117584.449673284,[-0.1041 -0.5306 -0.6381 -0.6864 -0.688 ]
AMIE.csv,CAS9.csv,0.1644518322692706,2.610762725199289e-50,True,11117584.449673284,[-0.1041 -0.5306 -0.6381 -0.6864 -0.688 ]
AMIE.csv,LGK.csv,0.5134544953334329,0.0,True,11117584.449673284,[-0.1041 -0.5306 -0.6381 -0.6864 -0.688 ]
AMIE.csv,OTC.csv,0.6533783606327876,8.696664954884132e-192,True,11117584.449673284,[-0.1041 -0.5306 -0.6381 -0.6864 -0.688 ]
AMIE.csv,PTEN_2018.csv,0.5172177342920246,0.0,True,11117584.449673284,[-0.1041 -0.5306 -0.6381 -0.6864 -0.688 ]
AMIE.csv,RASH.csv,0.40503230871693874,4.777513184674482e-124,True,11117584.449673284,[-0.1041 -0.5306 -0.6381 -0.6864 -0.688 ]
AMIE.csv,RNC.csv,0.4410392909046255,4.3511953223196773e-203,True,11117584.449673284,[-0.1041 -0.5306 -0.6381 -0.6864 -0.688 ]
AMIE.csv,RUBISCO.csv,0.5490160291045111,0.0,True,11117584.449673284,[-0.1041 -0.5306 -0.6381 -0.6864 -0.688 ]
AMIE.csv,VKOR1.csv,0.29300006347189617,2.8923564167062014e-15,True,11117584.449673284,[-0.1041 -0.5306 -0.6381 -0.6864 -0.688 ]
CAS9.csv,PTEN.csv,0.5231097417959419,0.0,True,22458944.53178477,[-0.1216 -0.2028 -0.0848 -1.0932 -0.688 ]
CAS9.csv,PAFA.csv,0.4999867239980519,2.283181590834399e-65,True,22458944.53178477,[-0.1216 -0.2028 -0.0848 -1.0932 -0.688 ]
CAS9.csv,AICDA.csv,0.37286406742338335,2.6991415339203946e-08,True,22458944.53178477,[-0.1216 -0.2028 -0.0848 -1.0932 -0.688 ]
CAS9.csv,AMIE.csv,0.5595369021881899,0.0,True,22458944.53178477,[-0.1216 -0.2028 -0.0848 -1.0932 -0.688 ]
CAS9.csv,CAS9.csv (Train Set),0.17608651461336888,1.5735355845813093e-57,True,22458944.53178477,[-0.1216 -0.2028 -0.0848 -1.0932 -0.688 ]
CAS9.csv,LGK.csv,0.5058139814195948,0.0,True,22458944.53178477,[-0.1216 -0.2028 -0.0848 -1.0932 -0.688 ]
