Train_Dataset,Test_Dataset,Spearman_r,p_value,Optimization_Success,Objective_Value,Params
PAFA.csv,CAS9.csv,0.17303972808715687,1.3732089076576996e-55,True,298895.32732722815,[-0.0618 -0.5901 -0.2103  0.1973]
PAFA.csv,LGK.csv,0.5155127114054014,0.0,True,298895.32732722815,[-0.0618 -0.5901 -0.2103  0.1973]
PAFA.csv,OTC.csv,0.6026807344503371,7.06566322536767e-156,True,298895.32732722815,[-0.0618 -0.5901 -0.2103  0.1973]
PAFA.csv,PTEN_2018.csv,0.5280700649113667,0.0,True,298895.32732722815,[-0.0618 -0.5901 -0.2103  0.1973]
PAFA.csv,RASH.csv,0.4542493642999783,2.0972727025637172e-159,True,298895.32732722815,[-0.0618 -0.5901 -0.2103  0.1973]
PAFA.csv,RNC.csv,0.540018468030922,0.0,True,298895.32732722815,[-0.0618 -0.5901 -0.2103  0.1973]
PAFA.csv,RUBISCO.csv,0.5859445966577431,0.0,True,298895.32732722815,[-0.0618 -0.5901 -0.2103  0.1973]
PAFA.csv,VKOR1.csv,0.3394107723867035,2.979462243533813e-20,True,298895.32732722815,[-0.0618 -0.5901 -0.2103  0.1973]
AICDA.csv,PTEN.csv,0.4867411537696134,0.0,True,13733.327548213854,[-0.2668 -0.2329 -0.023   0.1973]
AICDA.csv,PAFA.csv,0.46335553778522576,3.272346312490293e-55,True,13733.327548213854,[-0.2668 -0.2329 -0.023   0.1973]
AICDA.csv,AICDA.csv (Train Set),0.42169123854302454,2.0332381086052195e-10,True,13733.327548213854,[-0.2668 -0.2329 -0.023   0.1973]
AICDA.csv,AMIE.csv,0.48212987639349597,0.0,True,13733.327548213854,[-0.2668 -0.2329 -0.023   0.1973]
AICDA.csv,CAS9.csv,0.1742557375048951,2.3302391958359583e-56,True,13733.327548213854,[-0.2668 -0.2329 -0.023   0.1973]
AICDA.csv,LGK.csv,0.47836709587786275,0.0,True,13733.327548213854,[-0.2668 -0.2329 -0.023   0.1973]
AICDA.csv,OTC.csv,0.6706378386142382,1.1838311291095503e-205,True,13733.327548213854,[-0.2668 -0.2329 -0.023   0.1973]
AICDA.csv,PTEN_2018.csv,0.4874935194595073,0.0,True,13733.327548213854,[-0.2668 -0.2329 -0.023   0.1973]
