Train_Dataset,Test_Dataset,Spearman_r,p_value,Optimization_Success,Objective_Value,Params
PTEN.csv,PTEN.csv (Train Set),0.5189853451765152,0.0,True,15567925.302821219,[-0.1001 -0.4531 -0.2907  0.5453 -0.688 ]
PTEN.csv,PAFA.csv,0.5343276148930802,4.4383986903260434e-76,True,15567925.302821219,[-0.1001 -0.4531 -0.2907  0.5453 -0.688 ]
PTEN.csv,AICDA.csv,0.40937458133874105,7.526207734384573e-10,True,15567925.302821219,[-0.1001 -0.4531 -0.2907  0.5453 -0.688 ]
PTEN.csv,AMIE.csv,0.5954528184650182,0.0,True,15567925.302821219,[-0.1001 -0.4531 -0.2907  0.5453 -0.688 ]
PTEN.csv,CAS9.csv,0.17973855512453796,6.656996465613365e-60,True,15567925.302821219,[-0.1001 -0.4531 -0.2907  0.5453 -0.688 ]
PTEN.csv,LGK.csv,0.524955881836428,0.0,True,15567925.302821219,[-0.1001 -0.4531 -0.2907  0.5453 -0.688 ]
PTEN.csv,OTC.csv,0.6192354683115203,7.008587978148607e-167,True,15567925.302821219,[-0.1001 -0.4531 -0.2907  0.5453 -0.688 ]
PTEN.csv,PTEN_2018.csv,0.5233107844271553,0.0,True,15567925.302821219,[-0.1001 -0.4531 -0.2907  0.5453 -0.688 ]
PTEN.csv,RASH.csv,0.4208556539742737,8.843382102192931e-135,True,15567925.302821219,[-0.1001 -0.4531 -0.2907  0.5453 -0.688 ]
PTEN.csv,RNC.csv,0.5346576633507701,0.0,True,15567925.302821219,[-0.1001 -0.4531 -0.2907  0.5453 -0.688 ]
PTEN.csv,RUBISCO.csv,0.5741022774640102,0.0,True,15567925.302821219,[-0.1001 -0.4531 -0.2907  0.5453 -0.688 ]
PTEN.csv,VKOR1.csv,0.333768243631392,1.3419684735855504e-19,True,15567925.302821219,[-0.1001 -0.4531 -0.2907  0.5453 -0.688 ]
PAFA.csv,PTEN.csv,0.5238341213733971,0.0,True,295316.65484160284,[-0.1034 -0.5278 -0.1946  1.148  -0.688 ]
PAFA.csv,PAFA.csv (Train Set),0.550365204100515,1.6114057326235375e-81,True,295316.65484160284,[-0.1034 -0.5278 -0.1946  1.148  -0.688 ]
PAFA.csv,AICDA.csv,0.43170600580190754,6.741910633112085e-11,True,295316.65484160284,[-0.1034 -0.5278 -0.1946  1.148  -0.688 ]
PAFA.csv,AMIE.csv,0.6096541004638776,0.0,True,295316.65484160284,[-0.1034 -0.5278 -0.1946  1.148  -0.688 ]
PAFA.csv,CAS9.csv,0.18631260144664685,2.6318582753583608e-64,True,295316.65484160284,[-0.1034 -0.5278 -0.1946  1.148  -0.688 ]
PAFA.csv,LGK.csv,0.5256638806682048,0.0,True,295316.65484160284,[-0.1034 -0.5278 -0.1946  1.148  -0.688 ]
PAFA.csv,OTC.csv,0.5637512015456934,2.1458942867710766e-132,True,295316.65484160284,[-0.1034 -0.5278 -0.1946  1.148  -0.688 ]
PAFA.csv,PTEN_2018.csv,0.5250418175727357,0.0,True,295316.65484160284,[-0.1034 -0.5278 -0.1946  1.148  -0.688 ]
PAFA.csv,RASH.csv,0.4220836655213064,1.2282405502616168e-135,True,295316.65484160284,[-0.1034 -0.5278 -0.1946  1.148  -0.688 ]
PAFA.csv,RNC.csv,0.6039819537786458,0.0,True,295316.65484160284,[-0.1034 -0.5278 -0.1946  1.148  -0.688 ]
PAFA.csv,RUBISCO.csv,0.5845721395038598,0.0,True,295316.65484160284,[-0.1034 -0.5278 -0.1946  1.148  -0.688 ]
PAFA.csv,VKOR1.csv,0.37377024523944263,1.5651026584983745e-24,True,295316.65484160284,[-0.1034 -0.5278 -0.1946  1.148  -0.688 ]
AICDA.csv,PTEN.csv,0.46389539425255877,0.0,True,12991.493512914505,[-0.2652 -0.0285 -0.0758  2.1764 -0.688 ]
AICDA.csv,PAFA.csv,0.4266831455635912,3.288399031767496e-46,True,12991.493512914505,[-0.2652 -0.0285 -0.0758  2.1764 -0.688 ]
AICDA.csv,AICDA.csv (Train Set),0.48904536726265674,5.770931811172783e-14,True,12991.493512914505,[-0.2652 -0.0285 -0.0758  2.1764 -0.688 ]
AICDA.csv,AMIE.csv,0.5567052000252238,0.0,True,12991.493512914505,[-0.2652 -0.0285 -0.0758  2.1764 -0.688 ]
AICDA.csv,CAS9.csv,0.1475728118118841,9.467557929069432e-41,True,12991.493512914505,[-0.2652 -0.0285 -0.0758  2.1764 -0.688 ]
AICDA.csv,LGK.csv,0.45803931165361444,0.0,True,12991.493512914505,[-0.2652 -0.0285 -0.0758  2.1764 -0.688 ]
AICDA.csv,OTC.csv,0.4470393266242114,5.515969275941464e-78,True,12991.493512914505,[-0.2652 -0.0285 -0.0758  2.1764 -0.688 ]
AICDA.csv,PTEN_2018.csv,0.4610327087322379,0.0,True,12991.493512914505,[-0.2652 -0.0285 -0.0758  2.1764 -0.688 ]
AICDA.csv,RASH.csv,0.270657539845265,9.532851905230987e-54,True,12991.493512914505,[-0.2652 -0.0285 -0.0758  2.1764 -0.688 ]
AICDA.csv,RNC.csv,0.4844968872882832,1.1115960022388278e-250,True,12991.493512914505,[-0.2652 -0.0285 -0.0758  2.1764 -0.688 ]
AICDA.csv,RUBISCO.csv,0.3716467042716067,2.900302272597384e-278,True,12991.493512914505,[-0.2652 -0.0285 -0.0758  2.1764 -0.688 ]
AICDA.csv,VKOR1.csv,0.3243152882773438,1.5586783850845935e-18,True,12991.493512914505,[-0.2652 -0.0285 -0.0758  2.1764 -0.688 ]
AMIE.csv,PTEN.csv,0.5089500691056543,0.0,True,10689631.754617691,[-0.1118 -0.3734 -0.4323  2.081  -0.688 ]
AMIE.csv,PAFA.csv,0.5257959339444817,2.6544871371734502e-73,True,10689631.754617691,[-0.1118 -0.3734 -0.4323  2.081  -0.688 ]
AMIE.csv,AICDA.csv,0.44452067120529604,1.5559978543406748e-11,True,10689631.754617691,[-0.1118 -0.3734 -0.4323  2.081  -0.688 ]
AMIE.csv,AMIE.csv (Train Set),0.6208850699257195,0.0,True,10689631.754617691,[-0.1118 -0.3734 -0.4323  2.081  -0.688 ]
AMIE.csv,CAS9.csv,0.17847782136395177,4.45145927548562e-59,True,10689631.754617691,[-0.1118 -0.3734 -0.4323  2.081  -0.688 ]
AMIE.csv,LGK.csv,0.5284490332292932,0.0,True,10689631.754617691,[-0.1118 -0.3734 -0.4323  2.081  -0.688 ]
AMIE.csv,OTC.csv,0.5319147813149611,2.169361441693603e-115,True,10689631.754617691,[-0.1118 -0.3734 -0.4323  2.081  -0.688 ]
AMIE.csv,PTEN_2018.csv,0.5103026501015406,0.0,True,10689631.754617691,[-0.1118 -0.3734 -0.4323  2.081  -0.688 ]
AMIE.csv,RASH.csv,0.36946322054581754,5.887887009224274e-102,True,10689631.754617691,[-0.1118 -0.3734 -0.4323  2.081  -0.688 ]
AMIE.csv,RNC.csv,0.5759852521550836,0.0,True,10689631.754617691,[-0.1118 -0.3734 -0.4323  2.081  -0.688 ]
AMIE.csv,RUBISCO.csv,0.5400104459577235,0.0,True,10689631.754617691,[-0.1118 -0.3734 -0.4323  2.081  -0.688 ]
AMIE.csv,VKOR1.csv,0.3695237034088973,5.650793960706245e-24,True,10689631.754617691,[-0.1118 -0.3734 -0.4323  2.081  -0.688 ]
CAS9.csv,PTEN.csv,0.5160098339883168,0.0,True,22411762.51390576,[-0.0826 -0.1189 -0.0551  0.3741 -0.688 ]
CAS9.csv,PAFA.csv,0.534014097879249,5.632167383896426e-76,True,22411762.51390576,[-0.0826 -0.1189 -0.0551  0.3741 -0.688 ]
CAS9.csv,AICDA.csv,0.452860499395591,5.795313134087577e-12,True,22411762.51390576,[-0.0826 -0.1189 -0.0551  0.3741 -0.688 ]
CAS9.csv,AMIE.csv,0.5980119010782536,0.0,True,22411762.51390576,[-0.0826 -0.1189 -0.0551  0.3741 -0.688 ]
CAS9.csv,CAS9.csv (Train Set),0.19002032549725362,7.289617348326307e-67,True,22411762.51390576,[-0.0826 -0.1189 -0.0551  0.3741 -0.688 ]
CAS9.csv,LGK.csv,0.526437648745928,0.0,True,22411762.51390576,[-0.0826 -0.1189 -0.0551  0.3741 -0.688 ]
CAS9.csv,OTC.csv,0.6156579022906019,1.902044597887399e-164,True,22411762.51390576,[-0.0826 -0.1189 -0.0551  0.3741 -0.688 ]
CAS9.csv,PTEN_2018.csv,0.5177805124750811,0.0,True,22411762.51390576,[-0.0826 -0.1189 -0.0551  0.3741 -0.688 ]
CAS9.csv,RASH.csv,0.4121807252647764,7.984290378297944e-129,True,22411762.51390576,[-0.0826 -0.1189 -0.0551  0.3741 -0.688 ]
CAS9.csv,RNC.csv,0.5594975596444474,0.0,True,22411762.51390576,[-0.0826 -0.1189 -0.0551  0.3741 -0.688 ]
CAS9.csv,RUBISCO.csv,0.5646344357062123,0.0,True,22411762.51390576,[-0.0826 -0.1189 -0.0551  0.3741 -0.688 ]
CAS9.csv,VKOR1.csv,0.3403930239568661,2.2854705424390207e-20,True,22411762.51390576,[-0.0826 -0.1189 -0.0551  0.3741 -0.688 ]
LGK.csv,PTEN.csv,0.5162012286936468,0.0,True,18284775.21360673,[-0.1457 -0.4139 -0.2872  1.2821 -0.688 ]
LGK.csv,PAFA.csv,0.5384473345455596,1.895421898162655e-77,True,18284775.21360673,[-0.1457 -0.4139 -0.2872  1.2821 -0.688 ]
LGK.csv,AICDA.csv,0.4449094728508324,1.486859784788618e-11,True,18284775.21360673,[-0.1457 -0.4139 -0.2872  1.2821 -0.688 ]
LGK.csv,AMIE.csv,0.6198762079271612,0.0,True,18284775.21360673,[-0.1457 -0.4139 -0.2872  1.2821 -0.688 ]
LGK.csv,CAS9.csv,0.18589496406865852,5.069675628944849e-64,True,18284775.21360673,[-0.1457 -0.4139 -0.2872  1.2821 -0.688 ]
LGK.csv,LGK.csv (Train Set),0.5367059449881569,0.0,True,18284775.21360673,[-0.1457 -0.4139 -0.2872  1.2821 -0.688 ]
LGK.csv,OTC.csv,0.5832862264329927,8.81568157234132e-144,True,18284775.21360673,[-0.1457 -0.4139 -0.2872  1.2821 -0.688 ]
LGK.csv,PTEN_2018.csv,0.5183607885349626,0.0,True,18284775.21360673,[-0.1457 -0.4139 -0.2872  1.2821 -0.688 ]
LGK.csv,RASH.csv,0.39113615865703893,4.328769831085392e-115,True,18284775.21360673,[-0.1457 -0.4139 -0.2872  1.2821 -0.688 ]
LGK.csv,RNC.csv,0.5638352043972202,0.0,True,18284775.21360673,[-0.1457 -0.4139 -0.2872  1.2821 -0.688 ]
LGK.csv,RUBISCO.csv,0.5525271185205696,0.0,True,18284775.21360673,[-0.1457 -0.4139 -0.2872  1.2821 -0.688 ]
LGK.csv,VKOR1.csv,0.35441064143873996,4.678810880215991e-22,True,18284775.21360673,[-0.1457 -0.4139 -0.2872  1.2821 -0.688 ]
OTC.csv,PTEN.csv,0.4903095649052816,0.0,True,620343.594403875,[-0.531  -0.4354 -0.4975 -0.0884 -0.688 ]
OTC.csv,PAFA.csv,0.46070127226936347,1.5994090543357687e-54,True,620343.594403875,[-0.531  -0.4354 -0.4975 -0.0884 -0.688 ]
OTC.csv,AICDA.csv,0.3694859008416081,3.6785182882462794e-08,True,620343.594403875,[-0.531  -0.4354 -0.4975 -0.0884 -0.688 ]
OTC.csv,AMIE.csv,0.5380448846387804,0.0,True,620343.594403875,[-0.531  -0.4354 -0.4975 -0.0884 -0.688 ]
OTC.csv,CAS9.csv,0.16825051878808397,1.3076252211544115e-52,True,620343.594403875,[-0.531  -0.4354 -0.4975 -0.0884 -0.688 ]
OTC.csv,LGK.csv,0.5081424901019121,0.0,True,620343.594403875,[-0.531  -0.4354 -0.4975 -0.0884 -0.688 ]
OTC.csv,OTC.csv (Train Set),0.6980130939695094,1.10788643115952e-229,True,620343.594403875,[-0.531  -0.4354 -0.4975 -0.0884 -0.688 ]
OTC.csv,PTEN_2018.csv,0.494372357049625,0.0,True,620343.594403875,[-0.531  -0.4354 -0.4975 -0.0884 -0.688 ]
OTC.csv,RASH.csv,0.4032360921137171,7.265499671320856e-123,True,620343.594403875,[-0.531  -0.4354 -0.4975 -0.0884 -0.688 ]
OTC.csv,RNC.csv,0.3791162159647282,2.9071912541809193e-146,True,620343.594403875,[-0.531  -0.4354 -0.4975 -0.0884 -0.688 ]
OTC.csv,RUBISCO.csv,0.5217172990286737,0.0,True,620343.594403875,[-0.531  -0.4354 -0.4975 -0.0884 -0.688 ]
OTC.csv,VKOR1.csv,0.2344411567467494,3.7081008148618536e-10,True,620343.594403875,[-0.531  -0.4354 -0.4975 -0.0884 -0.688 ]
PTEN_2018.csv,PTEN.csv,0.5180821438294974,0.0,True,15530723.8576781,[-0.0942 -0.4529 -0.3036  0.4522 -0.688 ]
PTEN_2018.csv,PAFA.csv,0.5311068454372065,5.067595475012981e-75,True,15530723.8576781,[-0.0942 -0.4529 -0.3036  0.4522 -0.688 ]
PTEN_2018.csv,AICDA.csv,0.40189524816090216,1.6241680201913615e-09,True,15530723.8576781,[-0.0942 -0.4529 -0.3036  0.4522 -0.688 ]
PTEN_2018.csv,AMIE.csv,0.5922935745618788,0.0,True,15530723.8576781,[-0.0942 -0.4529 -0.3036  0.4522 -0.688 ]
PTEN_2018.csv,CAS9.csv,0.1777280525278781,1.3688481344607826e-58,True,15530723.8576781,[-0.0942 -0.4529 -0.3036  0.4522 -0.688 ]
PTEN_2018.csv,LGK.csv,0.5242789582361095,0.0,True,15530723.8576781,[-0.0942 -0.4529 -0.3036  0.4522 -0.688 ]
PTEN_2018.csv,OTC.csv,0.6255840524352512,2.8098132830071398e-171,True,15530723.8576781,[-0.0942 -0.4529 -0.3036  0.4522 -0.688 ]
PTEN_2018.csv,PTEN_2018.csv (Train Set),0.5225602506395483,0.0,True,15530723.8576781,[-0.0942 -0.4529 -0.3036  0.4522 -0.688 ]
PTEN_2018.csv,RASH.csv,0.42041813630321584,1.7832392387818022e-134,True,15530723.8576781,[-0.0942 -0.4529 -0.3036  0.4522 -0.688 ]
PTEN_2018.csv,RNC.csv,0.5218857255975374,1.6190071377987574e-297,True,15530723.8576781,[-0.0942 -0.4529 -0.3036  0.4522 -0.688 ]
PTEN_2018.csv,RUBISCO.csv,0.5717188012908988,0.0,True,15530723.8576781,[-0.0942 -0.4529 -0.3036  0.4522 -0.688 ]
PTEN_2018.csv,VKOR1.csv,0.32785320487486236,6.288070925263561e-19,True,15530723.8576781,[-0.0942 -0.4529 -0.3036  0.4522 -0.688 ]
RASH.csv,PTEN.csv,0.5121799812041807,0.0,True,3000301.479416539,[-0.1877 -0.5198 -0.0719 -0.1537 -0.688 ]
RASH.csv,PAFA.csv,0.5186622931636391,4.84953838230242e-71,True,3000301.479416539,[-0.1877 -0.5198 -0.0719 -0.1537 -0.688 ]
RASH.csv,AICDA.csv,0.3833906581682685,1.0053097974132501e-08,True,3000301.479416539,[-0.1877 -0.5198 -0.0719 -0.1537 -0.688 ]
RASH.csv,AMIE.csv,0.4904557372744937,0.0,True,3000301.479416539,[-0.1877 -0.5198 -0.0719 -0.1537 -0.688 ]
RASH.csv,CAS9.csv,0.1712687614033619,1.7761209775521204e-54,True,3000301.479416539,[-0.1877 -0.5198 -0.0719 -0.1537 -0.688 ]
RASH.csv,LGK.csv,0.4890685445006057,0.0,True,3000301.479416539,[-0.1877 -0.5198 -0.0719 -0.1537 -0.688 ]
RASH.csv,OTC.csv,0.616543730685683,4.781579725658802e-165,True,3000301.479416539,[-0.1877 -0.5198 -0.0719 -0.1537 -0.688 ]
RASH.csv,PTEN_2018.csv,0.5130914745949953,0.0,True,3000301.479416539,[-0.1877 -0.5198 -0.0719 -0.1537 -0.688 ]
RASH.csv,RASH.csv (Train Set),0.4697607189840748,8.181898992834586e-172,True,3000301.479416539,[-0.1877 -0.5198 -0.0719 -0.1537 -0.688 ]
RASH.csv,RNC.csv,0.5224783363159745,2.6232348979614392e-298,True,3000301.479416539,[-0.1877 -0.5198 -0.0719 -0.1537 -0.688 ]
RASH.csv,RUBISCO.csv,0.575505829165329,0.0,True,3000301.479416539,[-0.1877 -0.5198 -0.0719 -0.1537 -0.688 ]
RASH.csv,VKOR1.csv,0.33187220909401277,2.209793220028921e-19,True,3000301.479416539,[-0.1877 -0.5198 -0.0719 -0.1537 -0.688 ]
RNC.csv,PTEN.csv,0.49695189851743526,0.0,True,4979765.227449554,[ 0.0219 -0.7056 -0.1296  1.8349 -0.688 ]
RNC.csv,PAFA.csv,0.5254392539082313,3.4542192718857736e-73,True,4979765.227449554,[ 0.0219 -0.7056 -0.1296  1.8349 -0.688 ]
RNC.csv,AICDA.csv,0.43190928788053823,6.590043160516904e-11,True,4979765.227449554,[ 0.0219 -0.7056 -0.1296  1.8349 -0.688 ]
RNC.csv,AMIE.csv,0.5628143063742732,0.0,True,4979765.227449554,[ 0.0219 -0.7056 -0.1296  1.8349 -0.688 ]
RNC.csv,CAS9.csv,0.17406283204405892,3.0901868964867097e-56,True,4979765.227449554,[ 0.0219 -0.7056 -0.1296  1.8349 -0.688 ]
RNC.csv,LGK.csv,0.49220618346471395,0.0,True,4979765.227449554,[ 0.0219 -0.7056 -0.1296  1.8349 -0.688 ]
RNC.csv,OTC.csv,0.4390277998434695,5.712225383837295e-75,True,4979765.227449554,[ 0.0219 -0.7056 -0.1296  1.8349 -0.688 ]
RNC.csv,PTEN_2018.csv,0.49575280071444516,0.0,True,4979765.227449554,[ 0.0219 -0.7056 -0.1296  1.8349 -0.688 ]
RNC.csv,RASH.csv,0.37845028796704216,2.7851477101851166e-107,True,4979765.227449554,[ 0.0219 -0.7056 -0.1296  1.8349 -0.688 ]
RNC.csv,RNC.csv (Train Set),0.6400275233546935,0.0,True,4979765.227449554,[ 0.0219 -0.7056 -0.1296  1.8349 -0.688 ]
RNC.csv,RUBISCO.csv,0.5614925590216275,0.0,True,4979765.227449554,[ 0.0219 -0.7056 -0.1296  1.8349 -0.688 ]
RNC.csv,VKOR1.csv,0.39852483473563377,5.9653449452473785e-28,True,4979765.227449554,[ 0.0219 -0.7056 -0.1296  1.8349 -0.688 ]
RUBISCO.csv,PTEN.csv,0.5248217426834068,0.0,True,20679904.690815,[-0.1069 -0.6884 -0.2407  0.5146 -0.688 ]
RUBISCO.csv,PAFA.csv,0.5442865481570482,2.012720102678199e-79,True,20679904.690815,[-0.1069 -0.6884 -0.2407  0.5146 -0.688 ]
RUBISCO.csv,AICDA.csv,0.41060019464776676,6.622837416066374e-10,True,20679904.690815,[-0.1069 -0.6884 -0.2407  0.5146 -0.688 ]
RUBISCO.csv,AMIE.csv,0.5845044622173258,0.0,True,20679904.690815,[-0.1069 -0.6884 -0.2407  0.5146 -0.688 ]
RUBISCO.csv,CAS9.csv,0.1844656950885712,4.722989049381381e-63,True,20679904.690815,[-0.1069 -0.6884 -0.2407  0.5146 -0.688 ]
RUBISCO.csv,LGK.csv,0.5211179598167613,0.0,True,20679904.690815,[-0.1069 -0.6884 -0.2407  0.5146 -0.688 ]
